user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label,obvious_anomaly_flag,true_label,predicted_label,anomaly_score,risk_level,risk_reason
5,0,0,4,3,9,7,2.07,154,2,1,0,480,2,5,121.06,2024-03-18 22:00:00,0,0,0,0,0,0.5245020534476552,Medium,Some features are moderately unusual
374,1,0,6,6,5,6,0.17,10,2,3,0,0,2,4,508.39,2025-03-25 12:00:00,0,0,1,0,1,0.5042673165500644,Medium,Unusual time on page
277,1112,1,6,12,0,11,0.0,41,1,2,1,60,2,2,8.7,2024-12-12 17:00:00,114,0,0,0,0,0.44256739120060007,Medium,No touch events on Mobile
191,2223,0,9,6,4,8,0.86,70,0,1,0,60,2,5,294.68,2024-01-27 09:00:00,0,0,0,0,0,0.47060165624930167,Medium,Some features are moderately unusual
9,3334,1,3,10,0,12,0.0,14,0,0,1,480,1,1,1649.47,2025-05-22 22:00:00,30,0,0,0,0,0.4864562632565217,Medium,No touch events on Mobile
469,4445,1,10,11,0,18,0.0,123,0,0,0,-330,2,1,899.59,2025-03-16 16:00:00,322,0,0,0,0,0.5205387760483022,Medium,No touch events on Mobile
99,4556,1,11,17,0,19,0.0,10,2,1,1,0,2,2,1242.24,2024-06-30 18:00:00,29,0,1,0,1,0.5109391788564801,Medium,Unusual time on page
113,4667,0,3,3,11,4,1.05,16,4,3,2,60,0,4,126.6,2024-04-06 04:00:00,0,0,0,0,0,0.5159680199805923,Medium,Some features are moderately unusual
5,4778,0,7,4,4,2,1.0,78,2,1,1,330,1,2,835.81,2025-01-01 22:00:00,0,0,0,0,0,0.47686305033831294,Medium,Some features are moderately unusual
26,4889,0,4,10,10,5,1.74,112,4,2,0,0,0,1,325.07,2025-01-15 09:00:00,0,0,0,0,0,0.4999787996030106,Medium,Some features are moderately unusual
408,2,1,11,14,0,12,0.0,223,3,3,1,330,2,2,1750.31,2025-02-19 15:00:00,589,0,0,0,0,0.4982536383132459,Medium,No touch events on Mobile
129,113,0,5,1,9,3,0.67,110,2,1,2,480,1,5,817.43,2025-05-14 09:00:00,0,0,0,0,0,0.494486408159046,Medium,Some features are moderately unusual
258,224,1,9,11,0,14,0.0,100,2,2,0,60,1,3,1617.39,2024-03-31 03:00:00,251,0,0,0,0,0.4547874598955803,Medium,No touch events on Mobile
399,335,0,5,7,12,6,0.96,45,2,0,2,-330,1,5,194.93,2024-10-11 20:00:00,0,0,0,0,0,0.48771601631536465,Medium,Some features are moderately unusual
486,446,0,5,8,6,6,1.27,10,0,1,2,60,2,0,182.57,2024-08-06 08:00:00,0,0,1,0,1,0.5151052910485376,Medium,Unusual time on page
304,557,1,8,17,0,14,0.0,11,0,0,0,330,2,3,1323.36,2024-06-26 09:00:00,22,0,0,0,0,0.4888259243552074,Medium,No touch events on Mobile
499,668,0,7,6,5,4,1.68,68,4,1,0,0,1,4,3334.03,2024-08-04 16:00:00,0,0,0,0,0,0.47978364777665433,Medium,Some features are moderately unusual
