user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label,obvious_anomaly_flag,true_label,predicted_label,anomaly_score,risk_level,risk_reason
5,0,0,4,3,9,7,2.07,154,2,1,0,480,2,5,121.06,2024-03-18 22:00:00,0,0,0,0,0,0.19979711371995015,Low,
374,1,0,6,6,5,6,0.17,10,2,3,0,0,2,4,508.39,2025-03-25 12:00:00,0,0,1,0,1,0.0635791008073992,Low,
277,1112,1,6,12,0,11,0.0,41,1,2,1,60,2,2,8.7,2024-12-12 17:00:00,114,0,0,0,0,0.06166919185604341,Low,
191,2223,0,9,6,4,8,0.86,70,0,1,0,60,2,5,294.68,2024-01-27 09:00:00,0,0,0,0,0,0.07611858880790225,Low,
9,3334,1,3,10,0,12,0.0,14,0,0,1,480,1,1,1649.47,2025-05-22 22:00:00,30,0,0,0,0,0.06445425595702695,Low,
469,4445,1,10,11,0,18,0.0,123,0,0,0,-330,2,1,899.59,2025-03-16 16:00:00,322,0,0,0,0,0.05579191631488316,Low,
99,4556,1,11,17,0,19,0.0,10,2,1,1,0,2,2,1242.24,2024-06-30 18:00:00,29,0,1,0,1,0.10099072481285204,Low,
113,4667,0,3,3,11,4,1.05,16,4,3,2,60,0,4,126.6,2024-04-06 04:00:00,0,0,0,0,0,0.06057635755473203,Low,
5,4778,0,7,4,4,2,1.0,78,2,1,1,330,1,2,835.81,2025-01-01 22:00:00,0,0,0,0,0,0.09237712572427899,Low,
26,4889,0,4,10,10,5,1.74,112,4,2,0,0,0,1,325.07,2025-01-15 09:00:00,0,0,0,0,0,0.26409718667948207,Low,
408,2,1,11,14,0,12,0.0,223,3,3,1,330,2,2,1750.31,2025-02-19 15:00:00,589,0,0,0,0,0.2815171780895891,Low,
129,113,0,5,1,9,3,0.67,110,2,1,2,480,1,5,817.43,2025-05-14 09:00:00,0,0,0,0,0,0.12381828771764702,Low,
258,224,1,9,11,0,14,0.0,100,2,2,0,60,1,3,1617.39,2024-03-31 03:00:00,251,0,0,0,0,0.0645353112639763,Low,
399,335,0,5,7,12,6,0.96,45,2,0,2,-330,1,5,194.93,2024-10-11 20:00:00,0,0,0,0,0,0.10610139477897106,Low,
