session_id,device_type,mouse_movement,touch_events,keyboard_events,click_events,scroll_events,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,device_motion,geolocation_city,ip_cluster,anomaly_score,label
session_0,PC,6,2,7,8,0,61,360x640,Chrome,hi-IN,8,landscape,1.15,Unknown,ClusterA,0.066,0
session_1,Mobile,4,2,9,7,1,106,1440x900,Chrome,fr-FR,-1,landscape,1.63,Mumbai,ClusterC,0.478,0
session_2,Mobile,5,4,5,9,0,75,1440x900,Chrome,en-GB,-3,landscape,1.47,Delhi,ClusterB,0.304,0
session_3,PC,2,1,4,6,17,33,1440x900,Firefox,en-US,-8,landscape,0.45,Unknown,ClusterC,0.377,0
session_4,PC,4,4,7,3,5,34,1920x1080,Firefox,hi-IN,6,none,0.93,Mumbai,ClusterA,0.459,0
session_5,PC,2,7,5,2,9,61,1440x900,Edge,hi-IN,-9,portrait,0.8,Chennai,ClusterC,0.395,0
session_6,Mobile,6,2,5,5,3,67,414x896,Chrome,en-US,3,portrait,1.3,Delhi,ClusterA,0.075,0
session_7,Mobile,5,2,8,3,12,6,360x640,Firefox,en-GB,6,portrait,1.22,Chennai,ClusterA,0.199,0
session_8,Mobile,2,2,11,3,12,11,1440x900,Firefox,en-GB,-5,none,0.94,Unknown,ClusterC,0.827,1
session_9,Mobile,5,4,8,5,15,30,1920x1080,Firefox,hi-IN,-12,portrait,1.12,Chennai,ClusterC,0.406,0
session_10,Mobile,10,0,7,7,9,15,1366x768,Chrome,fr-FR,-9,landscape,1.02,Delhi,ClusterA,0.053,0
session_11,Mobile,5,3,7,5,10,6,1440x900,Chrome,hi-IN,7,landscape,0.37,Unknown,ClusterA,0.348,0
session_12,Mobile,7,2,6,1,1,11,1440x900,Edge,hi-IN,-2,none,0.65,Chennai,ClusterA,0.368,0
session_13,PC,5,2,9,7,16,55,1440x900,Safari,en-US,-1,landscape,2.08,Bangalore,ClusterC,0.163,0
